,Unnamed: 0,world_x,world_y,eye_x,eye_y,eye_w,eye_h,pipil_x,pupil_y,pupil_w,pupil_h,world_x_p,world_y_p
28,28,350,384,136,251,373,172,214,254,199,159,346.49958366834863,387.9978928769158
29,29,255,320,136,194,373,172,327,194,166,133,255.00201403634682,319.9995148446751
30,30,311,296,136,136,373,172,254,134,199,159,316.30038582259505,292.2004374589293
31,31,227,322,136,194,373,172,344,211,166,133,239.33576349826276,329.99943343805126
32,32,219,303,137,185,311,143,360,194,166,133,219.0031129291381,303.0002417408405
33,33,437,315,108,194,372,172,145,211,166,133,438.497140019651,314.99983185903454
34,34,331,311,108,194,372,172,234,174,199,159,331.00098974492397,310.9997517411179
35,35,318,295,108,136,372,172,234,134,199,159,319.50030082611863,296.500323244914
36,36,319,308,136,136,373,172,254,154,199,159,319.00028544674075,308.00001778882677
37,37,299,261,136,136,373,172,273,134,200,159,296.00092501899246,268.2510736044325
38,38,348,276,136,165,373,172,214,154,199,159,345.39961288588745,277.8008199430732
39,39,440,315,108,194,372,172,145,211,166,133,438.497140019651,314.99983185903454
40,40,338,311,161,161,311,144,261,161,166,133,337.9998094402392,310.99998597802426
41,41,368,309,108,165,372,172,194,174,199,159,367.499025878972,311.99991154323124
42,42,343,392,136,251,373,172,214,254,199,159,346.49958366834863,387.9978928769158
43,43,341,283,136,165,373,172,214,154,199,159,345.39961288588745,277.8008199430732
44,44,291,287,136,136,373,172,273,134,200,159,296.00092501899246,268.2510736044325
45,45,410,322,108,194,372,172,154,194,199,159,407.99795014231705,312.9998539540177
46,46,227,350,209,209,311,143,360,211,166,133,227.002456896519,349.9989022100735
47,47,360,283,108,136,372,172,203,162,139,110,361.99917196666587,277.0008411921923
48,48,314,300,136,136,373,172,254,134,199,159,316.30038582259505,292.2004374589293
49,49,300,313,136,165,373,172,254,154,199,159,313.25047399988097,315.2498274924556
50,50,344,330,136,222,373,172,214,214,199,159,347.66621934671656,345.99900845566907
51,51,245,262,108,165,372,172,327,161,166,133,245.0025035126061,262.00125055265
52,52,263,280,136,136,373,172,293,154,199,159,277.0014296855713,293.6670651688774
53,53,438,278,108,165,372,172,145,178,166,133,433.49727282664537,281.00073494659676
54,54,341,366,136,222,373,172,214,234,199,159,347.9995438262503,361.3319345142194
55,55,429,284,108,165,372,172,145,178,166,133,433.49727282664537,281.00073494659676
56,56,323,292,108,136,372,172,254,134,199,159,320.8002662963,285.60061276416184
57,57,246,349,136,222,373,172,313,214,199,159,246.0022530889368,348.9988587744485
58,58,347,246,108,136,372,172,214,134,199,159,345.99959694904805,253.50146538506615
59,59,352,268,108,165,372,172,214,154,199,159,342.7496832735944,282.7506884641487
60,60,300,282,108,136,372,172,254,154,199,159,300.00081877339693,282.00070838519787
61,61,417,335,108,222,372,172,154,214,199,159,416.99771108972703,334.9994896230214
62,62,317,305,136,136,373,172,254,134,199,159,316.30038582259505,292.2004374589293
63,63,317,304,108,136,372,172,254,134,199,159,320.8002662963,285.60061276416184
64,64,360,353,136,222,373,172,214,234,199,159,347.9995438262503,361.3319345142194
65,65,249,347,209,233,311,143,313,214,199,159,245.0022796503357,346.4990301734816
66,66,312,297,136,136,373,172,254,134,199,159,316.30038582259505,292.2004374589293
67,67,235,331,136,194,373,172,344,211,166,133,239.33576349826276,329.99943343805126
68,68,256,337,136,194,373,172,344,211,166,133,239.33576349826276,329.99943343805126
69,69,196,327,136,222,373,172,369,231,138,111,196.00325645048645,326.9995131222479
70,70,446,299,108,194,372,172,128,211,166,133,470.3962927110265,301.00020371861893
71,71,365,356,136,222,373,172,194,234,199,159,366.49905244037086,358.49867336808904
72,72,269,311,136,165,373,172,293,174,199,159,270.40160499080395,305.000072826742
73,73,317,313,136,165,373,172,254,154,199,159,313.25047399988097,315.2498274924556
74,74,195,291,108,165,372,172,383,217,138,111,195.00378923224872,291.00021423413045
75,75,268,299,136,165,373,172,293,154,199,159,265.00174842235793,300.0002367673235
76,76,237,313,209,161,311,144,344,161,166,133,237.0023160504016,312.99974064884054
77,77,362,267,136,165,373,172,194,154,199,159,361.99917196666587,267.00110680618116
78,78,347,312,136,194,373,172,214,174,199,159,344.4996367911464,308.00001778882677
79,79,397,308,108,194,372,172,154,174,199,159,396.9982423177048,308.0002662079684
80,80,364,271,108,136,372,172,203,162,139,110,361.99917196666587,277.0008411921923
81,81,358,272,108,165,372,172,194,154,199,159,356.99935340570164,272.5009607184873
82,82,379,358,136,251,373,172,194,234,199,159,378.99881090168697,357.99869585907015
83,83,294,265,136,136,373,172,273,134,200,159,296.00092501899246,268.2510736044325
84,84,319,297,108,136,372,172,254,134,199,159,320.8002662963,285.60061276416184
85,85,366,318,136,194,373,172,194,194,199,159,365.9990925917657,317.9999554551842
86,86,417,370,108,251,372,172,161,261,166,133,419.4976446862298,362.4985701925874
87,87,238,288,95,130,447,206,313,154,199,159,238.00233663618442,288.00054901680454
88,88,341,277,108,165,372,172,234,154,199,159,336.7496862336933,297.2503033238648
89,89,487,300,108,194,372,172,128,211,166,133,470.3962927110265,301.00020371861893
90,90,333,290,108,165,372,172,214,154,199,159,342.7496832735944,282.7506884641487
91,91,318,284,136,136,373,172,254,134,199,159,316.30038582259505,292.2004374589293
92,92,244,329,136,194,373,172,313,214,199,159,244.00230621173463,328.99963999663447
93,93,269,307,136,165,373,172,293,174,199,159,270.40160499080395,305.000072826742
94,94,362,371,136,251,373,172,244,261,166,133,361.99911115512947,370.99842341262115
95,95,317,259,136,136,373,172,254,134,199,159,316.30038582259505,292.2004374589293
96,96,222,358,209,233,311,143,360,228,166,132,222.00303742805414,357.9986897188824
97,97,440,284,108,165,372,172,128,194,166,133,443.9969939319571,286.50058885890286
98,98,408,337,108,194,372,172,154,214,199,159,407.99795014231705,336.999092620068
99,99,356,251,108,136,372,172,194,134,199,159,357.33259683183314,258.33467033830493
100,100,224,348,95,198,447,207,313,194,199,159,224.00296638365592,347.9989553328713
101,101,300,318,136,165,373,172,254,174,199,159,304.00071252780134,315.9998037122914
102,102,432,282,108,165,372,172,134,174,199,159,421.66425380319885,282.00070838519787
103,103,416,268,108,165,372,172,134,154,199,159,419.4976446862298,270.00102712198446
104,104,377,303,108,165,372,172,174,174,199,159,346.2495903086984,307.75002442917656
105,105,294,356,136,222,373,172,273,214,200,159,295.50093829969194,355.99874284168015
106,106,356,250,136,136,373,172,214,134,199,159,347.49955710694974,252.00150522716447
107,107,418,251,108,136,372,172,161,161,166,133,417.99768452832814,251.00150415771833
108,108,278,295,136,165,373,172,273,174,200,159,291.00105782598683,304.0003332717037
109,109,338,301,108,165,372,172,214,174,199,159,341.99970319464364,299.33358132095054
110,110,262,305,136,165,373,172,293,174,199,159,270.40160499080395,305.000072826742
111,111,338,313,136,194,373,172,234,174,199,159,333.66631592144336,317.9997521748379
112,112,308,314,136,165,373,172,254,174,199,159,304.00071252780134,315.9998037122914
113,113,357,320,136,194,373,172,214,194,199,159,352.4994242999553,326.9995258347187
114,114,345,261,108,136,372,172,214,134,199,159,345.99959694904805,253.50146538506615
115,115,321,298,108,136,372,172,234,134,199,159,319.50030082611863,296.500323244914
116,116,396,325,136,194,373,172,174,194,199,159,395.99816765203906,324.9993629646994
117,117,415,372,136,251,373,172,189,286,139,111,414.9977642125248,371.99819530108573
118,118,346,273,136,165,373,172,214,154,199,159,345.39961288588745,277.8008199430732
119,119,399,343,136,222,373,172,174,234,199,159,397.9982157563059,348.4989420521718
120,120,314,316,161,161,311,144,254,134,199,159,314.0004469138124,315.9998081261088
121,121,276,310,95,164,447,206,273,174,200,159,276.0014710033028,309.999964666029
122,122,312,372,136,222,373,172,254,234,199,159,312.0006899351939,371.99806480225374
123,123,334,281,108,165,372,172,234,154,199,159,336.7496862336933,297.2503033238648
124,124,206,288,108,165,372,172,369,203,138,111,206.00324769099964,288.00080411528194
125,125,231,301,136,165,373,172,344,194,166,133,231.00295224675236,301.0000211366533
126,126,411,309,95,164,447,206,134,194,199,159,410.9978704581204,308.9999912274279
127,127,444,324,108,194,372,172,128,228,166,132,443.9969939319571,323.99969954459266
128,128,345,263,136,165,373,172,214,134,199,159,344.99962351044695,263.0012130517767
129,129,348,303,108,165,372,172,214,174,199,159,341.99970319464364,299.33358132095054
130,130,204,352,108,165,372,172,369,259,138,110,204.00328130041186,351.99884908727574
131,131,401,327,136,194,373,172,154,214,199,159,400.9981360721092,326.9997627268063
132,132,276,387,136,194,373,172,294,261,166,133,276.0014562469702,386.9978404463904
133,133,248,365,136,194,373,172,327,244,166,133,248.00219996613907,364.99879835656844
134,134,404,262,108,165,372,172,154,154,199,159,403.9981853318562,262.00116441170235
135,135,335,361,185,257,311,143,234,234,199,159,335.00004780318835,360.9986100346857
136,136,322,298,136,136,373,172,254,134,199,159,316.30038582259505,292.2004374589293
137,137,288,302,136,136,373,172,293,154,199,159,277.0014296855713,293.6670651688774
138,138,241,346,209,233,311,143,313,214,199,159,245.0022796503357,346.4990301734816
139,139,304,313,136,165,373,172,273,174,200,159,291.00105782598683,304.0003332717037
140,140,381,377,136,251,373,172,194,254,199,159,380.9987294171036,376.998129362835
141,141,260,302,136,165,373,172,313,174,199,159,253.50205387844517,305.49998764171056
142,142,363,268,113,137,311,144,189,148,139,111,362.9991454052669,268.0010802447823
143,143,258,288,136,165,373,172,313,154,199,159,258.0019343521501,288.00059091930865
144,144,363,250,108,136,372,172,194,134,199,159,357.33259683183314,258.33467033830493
145,145,442,248,108,136,372,172,128,161,166,133,441.99704705475483,248.00163910360504
146,146,251,305,136,165,373,172,313,174,199,159,253.50205387844517,305.49998764171056
147,147,339,347,136,222,373,172,234,234,199,159,338.9995673698127,350.9988756486746
148,148,397,354,136,222,373,172,174,234,199,159,397.9982157563059,348.4989420521718
149,149,319,309,136,165,373,172,254,154,199,159,313.25047399988097,315.2498274924556
150,150,348,334,136,194,373,172,214,194,199,159,352.4994242999553,326.9995258347187
151,151,379,280,108,165,372,172,174,174,199,159,346.2495903086984,307.75002442917656
152,152,205,301,108,194,372,172,360,194,166,133,205.0036402886314,301.00032049833993
153,153,378,261,108,165,372,172,174,154,199,159,377.9987469842837,261.0013413760478
154,154,342,287,108,165,372,172,214,154,199,159,342.7496832735944,282.7506884641487
155,155,286,290,108,165,372,172,273,154,200,159,286.00117587664863,290.00049589400675
156,156,422,311,108,194,372,172,134,194,199,159,414.4977774932242,315.4998185783351
157,157,340,294,108,165,372,172,214,174,199,159,341.99970319464364,299.33358132095054
158,158,333,273,137,161,311,144,234,154,199,159,333.0002495347177,273.00094743778783
159,159,248,296,136,165,373,172,93,203,138,111,248.00219996613907,296.0003365256134
160,160,340,296,136,165,373,172,209,137,239,191,339.99975631744144,296.0003365256134
161,161,222,343,209,233,311,143,344,228,166,132,222.0029417853146,342.99908813986565
162,162,224,346,209,209,311,143,344,211,166,133,228.50271791341734,347.49896861357075
163,163,268,342,136,194,373,172,311,211,165,133,268.0013785233066,341.9991147012646
164,164,408,288,108,165,372,172,161,178,166,133,408.49793686161763,286.50058885890286
165,165,458,303,108,194,372,172,128,211,166,133,470.3962927110265,301.00020371861893
166,166,338,256,136,165,373,172,261,145,166,132,337.9998094402392,256.0014835851157
167,167,319,333,136,194,373,172,254,194,199,159,319.00014204176256,332.9992484597426
168,168,339,254,136,136,373,172,214,134,199,159,347.49955710694974,252.00150522716447
169,169,337,312,108,165,372,172,234,154,199,159,336.7496862336933,297.2503033238648
170,170,317,330,136,194,373,172,234,194,199,159,317.0007919574866,329.99944858865024
171,171,423,277,108,165,372,172,134,174,199,159,421.66425380319885,282.00070838519787
172,172,313,296,136,136,373,172,254,134,199,159,316.30038582259505,292.2004374589293
173,173,387,370,136,251,373,172,194,261,166,133,386.99835533587475,369.9985492297766
174,174,418,294,108,165,372,172,154,174,199,159,417.99755558438466,294.0003896484112
175,175,446,291,108,165,372,172,145,194,166,133,445.9969408091593,291.00046933260785
176,176,342,304,136,194,373,172,214,174,199,159,344.4996367911464,308.00001778882677
177,177,417,316,108,194,372,172,161,211,166,133,421.9975782827326,320.9996724906413
178,178,317,326,136,165,373,172,254,154,199,159,313.25047399988097,315.2498274924556
179,179,371,346,136,222,373,172,194,214,199,159,370.99890021820767,345.99900845566907
180,180,419,344,108,222,372,172,145,228,166,132,418.99765796692924,343.99887258650216
181,181,423,272,108,165,372,172,134,154,199,159,419.4976446862298,270.00102712198446
182,182,367,337,108,194,372,172,194,214,199,159,366.9990449848442,336.999092620068
183,183,295,327,136,194,373,172,273,194,200,159,295.00095158039136,326.99957784081937
184,184,382,255,108,136,372,172,174,134,199,159,381.9988164499533,255.00146900079957
185,185,491,298,108,194,372,172,128,211,166,133,470.3962927110265,301.00020371861893
186,186,374,293,108,165,372,172,174,174,199,159,346.2495903086984,307.75002442917656
187,187,255,355,108,165,372,172,174,174,199,159,346.2495903086984,307.75002442917656
188,188,263,317,136,194,373,172,311,194,165,133,263.0019590548418,316.99987945230004
189,189,368,361,136,222,373,172,194,234,199,159,366.49905244037086,358.49867336808904
190,190,262,301,136,165,373,172,293,154,199,159,265.00174842235793,300.0002367673235
191,191,343,277,136,165,373,172,214,154,199,159,345.39961288588745,277.8008199430732
192,192,344,286,108,165,372,172,214,154,199,159,342.7496832735944,282.7506884641487
193,193,319,341,185,209,311,143,254,194,199,159,319.0002962732898,340.9991412626635
194,194,346,300,137,161,311,144,214,134,199,159,345.99959694904805,300.0002302800179
195,195,356,273,108,165,372,172,194,154,199,159,356.99935340570164,272.5009607184873
196,196,325,312,136,194,373,172,233,161,239,191,325.0003026587194,311.99991154323124
197,197,257,370,136,194,373,172,311,244,165,133,257.0020936187177,369.99843223966514
198,198,280,299,136,136,373,172,293,154,199,159,277.0014296855713,293.6670651688774
199,199,326,328,136,194,373,172,234,174,199,159,333.66631592144336,317.9997521748379
200,200,352,267,137,161,311,144,194,154,199,159,351.9994375806547,267.00110680618116
201,201,335,319,108,165,372,172,234,154,199,159,336.7496862336933,297.2503033238648
202,202,284,372,136,222,373,172,273,234,200,159,284.00124375577917,371.99821509129436
203,203,357,325,108,165,372,172,203,176,139,110,356.9993047736603,324.9995662450456
204,204,328,313,161,161,311,144,234,134,199,159,328.00008431583467,312.99963306875816
205,205,317,271,108,136,372,172,254,134,199,159,320.8002662963,285.60061276416184
206,206,249,303,136,194,373,172,313,194,199,159,249.00217340474018,303.0002340871229
207,207,393,336,136,194,373,172,174,214,199,159,392.9984497903651,335.9990475061496
208,208,235,294,136,165,373,172,344,178,166,133,235.0024423417802,294.0006136271382
209,209,213,324,136,194,373,172,360,211,166,133,213.00290324863647,323.9995928064446
210,210,399,346,108,222,372,172,161,228,166,132,398.998189194907,345.99900845566907
211,211,259,308,136,165,373,172,313,174,199,159,253.50205387844517,305.49998764171056
212,212,427,326,108,194,372,172,161,211,166,133,421.9975782827326,320.9996724906413
213,213,470,305,108,194,372,172,128,211,166,133,470.3962927110265,301.00020371861893
214,214,312,284,136,136,373,172,254,134,199,159,316.30038582259505,292.2004374589293
215,215,406,304,108,194,372,172,154,194,199,159,407.99795014231705,312.9998539540177
216,216,410,287,108,165,372,172,134,174,199,159,421.66425380319885,282.00070838519787
217,217,353,274,108,136,372,172,194,134,199,159,357.33259683183314,258.33467033830493
